COUNTRY,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT,FREQUENCY,SCALE,BOP_ACCOUNTING_ENTRY
Netherlands,"Other investment, Total financial assets/liabilities",2001-Q4,16511.0566984134,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2002-Q1,10310.531258064,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2002-Q2,-2390.76303174613,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2002-Q3,-4568.54203636357,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2002-Q4,25010.045925,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2003-Q1,43494.2870000002,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2003-Q2,10586.5701629028,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2003-Q3,-5446.09085454543,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2003-Q4,17890.6714015625,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2004-Q1,47233.356375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2004-Q2,6389.2404952379,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2004-Q3,15151.4277090912,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2004-Q4,12474.5861878789,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2005-Q1,57762.6229032237,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2005-Q2,22382.796681539,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2005-Q3,24820.5169818179,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2005-Q4,-37144.2885375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2006-Q1,127921.276787688,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2006-Q2,887.061701612906,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2006-Q3,46569.1810538453,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2006-Q4,69874.2584396853,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2007-Q1,154355.569375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2007-Q2,26589.3397709674,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2007-Q3,70246.6362276908,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2007-Q4,19098.4454,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2008-Q1,109301.073832262,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2008-Q2,16418.853375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2008-Q3,4635.46999999992,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2008-Q4,-201118.090485937,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2009-Q1,-3469.51702539678,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2009-Q2,-187911.474062901,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2009-Q3,6191.78837727253,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2009-Q4,-48195.7237384623,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2010-Q1,41449.8995809513,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2010-Q2,-22812.5182476192,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2010-Q3,71066.5544787883,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2010-Q4,-39091.001878788,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2011-Q1,59768.8101296875,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2011-Q2,30536.8936190475,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2011-Q3,77889.3815757559,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2011-Q4,-77760.2142203125,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2012-Q1,48285.4788615393,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2012-Q2,-56970.6948048371,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2012-Q3,-20342.7301369228,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2012-Q4,-39738.4766625,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2013-Q1,-24361.6437580652,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2013-Q2,-463.712269841253,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2013-Q3,-23253.9036939396,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2013-Q4,-32949.318234375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
