COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD_FULL,EURO_PERIOD_CRISIS_EXCLUDED,IS_CRISIS_YEAR,EURO_PERIOD
"Latvia, Republic of",1999,1,% of GDP (annualized),7325000000,-0.21296928327645048,-6.4928327645051205,-5.215017064846416,1.0976109215017065,-2.4245733788395905,-1.326962457337884,3.2054607508532422,-4.292150170648464,-0.005460750853242321,-0.07098976109215016,-0.07645051194539249,-3.4184300341296927,-1.2505119453924916,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",1999,2,% of GDP (annualized),7325000000,0.6334470989761092,4.237542662116041,4.013651877133106,-0.9829351535836176,2.233447098976109,1.2505119453924916,5.111262798634812,4.6416382252559725,8.16382252559727,0.19112627986348124,8.35494880546075,-4.477815699658703,-7.104436860068258,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",1999,3,% of GDP (annualized),7325000000,-0.44232081911262794,5.307849829351536,6.880546075085324,5.073037542662116,-3.6313993174061436,1.4416382252559727,1.6436860068259385,7.191808873720136,-0.562457337883959,-0.30580204778156994,-0.8682593856655291,-2.0860068259385667,2.3098976109215017,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",1999,4,% of GDP (annualized),7325000000,0.9774744027303753,8.63890784982935,9.354266211604095,-4.139249146757678,-0.38771331058020475,-4.526962457337884,9.048464163822524,11.78976109215017,3.800682593856655,0.5515358361774744,4.35221843003413,-8.07098976109215,-8.879180887372014,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2000,1,% of GDP (annualized),7765000000,0.304891891624149,4.929085581257075,4.72582432017431,5.33560810342261,0.20326126108276601,5.488054049234684,4.471747743820852,7.266590083708883,1.1687522512259045,0.304891891624149,1.4736441428500533,-4.1668558521967025,4.014409906384628,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2000,2,% of GDP (annualized),7765000000,0.0480720353945552,6.345508672081287,6.249364601292179,0.09614407078911043,-0.14421610618366565,-0.0480720353945552,3.5573306191970846,3.893834866958971,-0.9133686724965485,0.28843221236733124,-0.6249364601292178,-3.5092585838025303,0.5768644247346623,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2000,3,% of GDP (annualized),7765000000,0.09326346030016767,2.471481697954444,2.6580086185547795,2.284954777354108,0.3264221110505869,2.611376888404695,3.1243259200556173,5.5491758878599775,0.9792663331517607,-0.23315865075041925,0.7461076824013414,-3.03106245975545,1.8652692060033536,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2000,4,% of GDP (annualized),7765000000,-0.0894579871012593,2.5048236388352607,1.8786177291264454,5.32275023252493,0.9840378581138527,6.3067880906387845,5.546395200278079,12.747763161929454,0.17891597420251865,-0.6262059097088155,-0.402560941955667,-5.635853187379339,6.709349032594448,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2001,1,% of GDP (annualized),8192000000,0.7212622070312514,-7.43801651000978,-9.556724243164082,3.51615325927735,-0.6311044311523448,2.885048828125005,1.0368144226074238,-4.598046569824227,1.6228399658203152,0.0,1.577761077880862,-0.3155522155761724,1.3072877502441431,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2001,2,% of GDP (annualized),8192000000,0.7668612966229981,3.45087583480349,4.430754158266211,6.901751669606983,1.7467396200857177,8.6484912896927,4.1325303206906,11.247299017137305,0.25562043220766606,-0.042603405367944325,0.21301702683972165,-3.3656690240676026,8.435474262852978,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2001,3,% of GDP (annualized),8192000000,-0.3912322716346302,-0.5651132812500215,0.3912322716346293,-1.3475778245192818,0.4347025240384781,-0.9128753004808038,3.521090444711672,2.651685396634716,-0.2608215144230868,-0.0869405048076956,-0.3477620192307824,-3.9123227163463024,-0.5651132812500215,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2001,4,% of GDP (annualized),8192000000,3.018343563988217,7.349010416666962,8.530101376488437,-6.605360553075664,-1.8372526041667405,-8.48635726686542,-0.2187205481150882,11.11100384424648,5.730478360615307,0.13123232886905287,5.86171068948436,3.237064112103305,-14.348067956349785,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2002,1,% of GDP (annualized),9256000000,-2.045645021886306,5.720229598237636,4.204936989432965,0.9470578805029196,0.7197639891822191,1.6289395544650216,-0.7576463044023357,6.477875902639969,-0.909175565282803,1.0985871413833868,0.1894115761005839,-1.2879987174839707,1.4395279783644377,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2002,2,% of GDP (annualized),9256000000,-0.27794823777971034,0.9926722777846796,1.9456376644579731,3.692740873359009,-0.03970689111138719,3.653033982247621,3.4942064178020726,2.81918926890849,-0.6353102577821949,0.47648269333664606,-0.15882756444554874,-3.772154655581783,3.8118615466931702,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2002,3,% of GDP (annualized),9256000000,-0.12753909012335793,0.4251303004111931,-0.5101563604934317,0.9352866609046249,-0.08502606008223863,0.8927736308635056,3.1884772530839482,7.397267227154758,0.7227215106990281,-0.8077475707812667,-0.08502606008223863,-3.3160163432073055,0.977799690945744,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2002,4,% of GDP (annualized),9256000000,0.43187662057044046,9.674036300777864,11.142416810717364,2.3321337510803786,-0.5614396067415726,1.7275064822817618,0.9933162273120127,18.959383643042337,0.7773779170267929,0.0,0.7773779170267929,-0.5614396067415726,0.9501285652549688,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2003,1,% of GDP (annualized),11249000000,0.15263765244741398,1.5263765244741399,0.1144782393355605,2.289564786711209,-0.038159413111853495,2.2514053735993564,3.3961877669549603,-0.30527530489482796,0.38159413111853496,0.07631882622370699,0.457912957342242,-3.243550114507547,1.7934924162571138,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2003,2,% of GDP (annualized),11249000000,1.415358211052396,5.499677620089309,4.812217917578149,1.8601850773831488,0.040438806030068455,1.9006238834132174,4.326952245217324,12.050764196960403,0.12131641809020538,0.36394925427061603,0.48526567236082135,-2.911594034164929,1.415358211052396,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2003,3,% of GDP (annualized),11249000000,0.6399206932872117,6.5191920628634685,6.7991573661766225,5.839276326245806,-0.11998512999135214,5.719291196254455,0.9998760832612681,21.477338268452034,0.5599306066263102,0.07999008666090146,0.6399206932872117,-0.35995538997405635,5.07937050296724,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2003,4,% of GDP (annualized),11249000000,0.8455762734465286,9.047666125877853,9.13222375322251,-0.4650669503955907,-0.12683644101697927,-0.5496245777402436,2.5367288203395852,15.474045804071467,-0.08455762734465286,0.8032974597742021,0.7187398324295493,-1.6911525468930568,-1.2683644101697928,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2004,1,% of GDP (annualized),13831000000,1.1204244089364475,12.252383052563086,10.083819680428027,-1.8794215891837183,0.14457089147567062,-1.7348506977080476,3.7949859012363527,13.625806521581959,-0.03614272286891765,0.7589971802472709,0.7228544573783533,-2.6745614922999073,-2.4577051550864013,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2004,2,% of GDP (annualized),13831000000,1.4631923456968192,4.877307818989399,4.842469905996617,1.0451373897834424,0.06967582598556284,1.0799753027762238,4.563766602054365,5.887607295780059,6.16631059972231,-0.06967582598556284,6.0966347737367474,-3.1005742563575445,-5.016659470960524,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2004,3,% of GDP (annualized),13831000000,-0.4240866038740453,19.932070382080123,18.942534973040683,5.230401447779891,0.17670275161418544,5.407104199394077,2.93326567679548,32.866711800238505,-0.35340550322837105,0.03534055032283711,-0.35340550322837105,-3.3573522806695255,5.760509702622448,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2004,4,% of GDP (annualized),13831000000,0.3002365787876625,10.99616469809814,10.245573251128983,-4.691196543557227,0.412825295833036,-4.27837124772419,5.817083714010961,17.713958148472088,0.22517743409074686,0.1876478617422891,0.412825295833036,-5.516847135223299,-4.691196543557227,Pre-Euro,Pre-Euro,False,Pre-Euro
