COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Other investment, Debt instruments","Liabilities - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Total financial assets/liabilities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Debt securities","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Total financial assets/liabilities"
Belgium,2005,1,US dollar,43005289006,72047889961,48452415806,2113810400,284551400,5795931742,-1829259000,-3394947348,30268663439,8727991329,24757283097,5333043981,30553214839
Belgium,2005,2,US dollar,4157182909,-4110586191,2178711431,1657331932,9694636182,1118321243,8037304249,13037006203,-12212118349,-2494813494,-3635803411,10542192709,-2517482168
Belgium,2005,3,US dollar,23687210176,32584095576,18057273782,1760346309,-1333373885,8069778818,-3093720194,3674402691,7325626879,5456707582,-2077525824,9131110273,5992252994
Belgium,2005,4,US dollar,21389814736,19071267675,18589970105,175881581.2,-9858875662,5453517408,-10034757244,-14440115498,19242395700,21972125377,3930002630,7532009878,9383520037
Belgium,2006,1,US dollar,-1984999840,20080840295,4502619262,1700054375,11269172320,9494575249,9569117945,5866029206,-91374916.92,20694014080,1683222154,26560043286,11177797403
Belgium,2006,2,US dollar,-5772821400,-9015315024,-5517397960,956265096.8,-4457956892,4415176611,-5414221989,-1925112629,21308354492,-812825332.3,12435220989,-2737937961,16850397600
Belgium,2006,3,US dollar,5004164017,-10029991082,10163792258,1399178022,6579195014,4123624843,5180016992,-10296319138,-7223989257,18600912186,-4768419086,8304593048,-644794243.1
Belgium,2006,4,US dollar,83000891967,63563525632,82699337652,534807865.1,3951134733,1957525656,3416326868,-2335112895,-4770743895,20339451890,-2777134817,18004338995,-819609161.9
Belgium,2007,1,US dollar,37411986172,17168675781,44991104648,723443437.5,14019337773,6352410039,13295894336,-8613170781,-8936885508,18740068320,-1269957773,10126897539,5082452266
Belgium,2007,2,US dollar,49389061629,62952685187,55901919735,-978748703.2,11562985713,3921735506,12541734416,6476458361,11359416768,-6682723584,19000666974,-206265222.6,22922402481
Belgium,2007,3,US dollar,2595163417,3302685471,3199648278,357195600,14263095074,7049117783,13905899474,-10306466889,5840148060,15783924032,13054125351,5477457143,20103243134
Belgium,2007,4,US dollar,59462453487,64022670881,54247465362,3256470362,-2365576558,3075394386,-5622046920,-650424907.8,34739063952,68710365762,29298093008,68059940855,32373487394
Belgium,2008,1,US dollar,34485309481,13625194148,35902042132,-116813051.6,12466049252,-3138976361,12582862303,18690088258,-21328865142,43848324848,-5723839529,62538413106,-8862815890
Belgium,2008,2,US dollar,29888249550,62315094412,36576081262,1104484237,12896064187,673313587.5,11791579950,10868312362,6609721087,4155485250,18832471687,15023797612,19505785275
Belgium,2008,3,US dollar,44157366818,-75344447773,42596658250,-1277764295,6540828773,-11212419318,7818593068,7233139227,-5040321114,41610868364,12712926977,48844007591,1500507659
