COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",CS1_GROUP,CS2_GROUP,CS3_GROUP
"Netherlands, The",2017,4,"US dollar, Nominal (Current Prices), % of GDP",847934000000,-2.1405649699151112,-15.409957210348916,-12.266314831107138,5.229221378078954,-3.812360652126227,4.425537539950043,-9.04158203020518,0.6526112711602554,12.297973420572829,-10.07896971028945,4.0600752280248225,-12.898990075008571,8.4856127684466,2.2044375623574215,-4.088302257258212,10.945540700775434,Eurozone,NA,NA
"Netherlands, The",2018,1,"US dollar, Nominal (Current Prices), % of GDP",930155000000,-3.3254617008993126,14.415091493783294,22.960539572006816,-2.5359005140462583,15.339095158548844,-0.07400487015604926,18.0788611730303,17.931380038810733,-6.918926753498073,-0.1865979940547543,8.49417327520682,17.744782044712977,8.42016840505077,3.1314632200317223,-3.790635170635968,10.353281334831417,Eurozone,NA,NA
"Netherlands, The",2018,2,"US dollar, Nominal (Current Prices), % of GDP",930155000000,10.944001840983493,-6.508296801715844,-3.0225510023598217,-0.23928315276486176,0.9402239514919556,-4.744726055800527,1.179507104084803,2.416401174427918,-9.512401993216184,33.17427778424026,-0.44269945159677687,35.59067895866818,-8.572178042154265,12.44016202522338,-3.3294687936035885,2.0146924125037415,Eurozone,NA,NA
"Netherlands, The",2018,3,"US dollar, Nominal (Current Prices), % of GDP",930155000000,-1.7903198963613591,0.9476693303804206,-0.06851224185216444,-2.5359005140462583,-4.308769895340024,0.35806397922926825,15.089196153329285,-13.609931836736887,11.623076823540163,-10.07896971028945,6.956242948755853,-12.898990075008571,7.314306928200138,3.859189564022082,5.757620964479603,8.415003601632701,Eurozone,NA,NA
"Netherlands, The",2018,4,"US dollar, Nominal (Current Prices), % of GDP",930155000000,-17.905164268320874,-32.57367484989061,-29.769458515193705,0.2729116545091947,-8.858830108960335,6.100753514414264,-9.13174176346953,0.17277860141589305,14.549234445011852,-10.07896971028945,-0.410349178362746,-12.898990075008571,5.690404336051518,-13.79283721530283,5.757620964479603,9.398763238385,Eurozone,NA,NA
"Netherlands, The",2019,1,"US dollar, Nominal (Current Prices), % of GDP",929006000000,5.8487571817620125,1.5898252170599545,9.805470756485963,-2.1091713814550177,10.236792147305833,-2.222625534388368,12.345963529191415,10.55172522631716,-4.406617973619116,9.877357654955944,8.052799708075083,20.42908288170367,5.830174173686715,6.752967217495886,-3.883848623459506,9.014225846918796,Eurozone,NA,NA
"Netherlands, The",2019,2,"US dollar, Nominal (Current Prices), % of GDP",929006000000,13.798801730021118,-5.701924207163355,6.6211992172278755,-2.5359005140462583,-7.459190963244586,5.572741876801657,-4.251405007072075,-17.792809734275128,13.243366092361084,-10.07896971028945,0.21143325231483975,-12.898990075008571,5.784175129116496,6.046410421461218,0.9855595765796992,2.4825263561268716,Eurozone,NA,NA
"Netherlands, The",2019,3,"US dollar, Nominal (Current Prices), % of GDP",929006000000,3.627135155639469,0.056015682826591,16.66729886136365,11.457361590775516,25.092153314402704,8.287927228026515,13.634791723627188,8.921814100662429,-5.41293427512847,19.123371109336215,11.391291810817153,28.045185209568075,19.67921903884367,5.677213394387709,-1.2471867846500242,7.938427668438409,Eurozone,NA,NA
"Netherlands, The",2019,4,"US dollar, Nominal (Current Prices), % of GDP",929006000000,-2.414405571546362,-6.835175023196836,-26.7624821342381,0.6740314865565992,-10.025622504052718,0.46047695623063795,-10.699653990178753,0.921430596142544,7.964916623143446,-10.07896971028945,-2.521182836709343,-12.898990075008571,-2.0607058809092726,-0.7584045931888492,-1.56590766098389,6.562034965328534,Eurozone,NA,NA
"Netherlands, The",2020,1,"US dollar, Nominal (Current Prices), % of GDP",931814000000,22.22186961475144,16.24217168190218,46.19891952685836,-2.5359005140462583,15.165797653608982,-1.3329240384883678,21.35991838113615,5.518665257229447,-12.033236827521373,-10.07896971028945,4.465484864575978,-12.898990075008571,3.1325608260876097,9.417089398340222,2.3065833947279173,5.209101222856708,Eurozone,NA,NA
