Country,Adoption_Year,Indicator,Pre_Variance,Post_Variance,Variance_Ratio,F_Statistic,P_Value,Significance,Volatility_Decreased,Pre_N,Post_N,Series_Type
"Latvia, Republic of",2014,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities",136.59427570438635,104.0675406701655,0.7618733664607269,1.3125540857865756,0.34754209847176076,,True,60,45,Full_Series
"Latvia, Republic of",2014,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",70.01104191926046,104.56277302724139,1.493518310266363,0.6695599197720274,0.14989710896401576,,False,60,45,Full_Series
"Latvia, Republic of",2014,"Assets - Other investment, Debt instruments",76.76499025604583,121.69813044955175,1.585333757532355,0.6307820011077958,0.09840299663330965,*,False,60,45,Full_Series
"Latvia, Republic of",2014,"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",215.04962374424753,74.9820795210614,0.3486733815923132,2.8680135989539095,0.00039466111239394586,***,True,60,45,Full_Series
"Lithuania, Republic of",2015,"Assets - Direct investment, Total financial assets/liabilities",2.1704516746078766,18.790580422998925,8.657451646046768,0.1155074311569072,9.014792286944731e-14,***,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Liabilities - Direct investment, Total financial assets/liabilities",10.55560735111427,23.110104607055973,2.1893675880825962,0.45675290227338194,0.005196197485621227,***,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",10.170427954029014,8.583927119867669,0.8440084486776337,1.1848222628183036,0.5721686784647804,,True,64,41,Full_Series
"Lithuania, Republic of",2015,"Assets - Portfolio investment, Total financial assets/liabilities",6.235768583874971,31.550164807601128,5.059547092428425,0.19764614929595034,1.154546844682377e-08,***,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Liabilities - Portfolio investment, Total financial assets/liabilities",27.652019334846457,43.745381993370025,1.5819959281687277,0.6321128785442393,0.10134318645559565,,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",32.5408733068518,43.91876364721668,1.3496492006552618,0.7409332732642636,0.2825040462990877,,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Assets - Portfolio investment, Debt securities",5.0071343152333245,29.871815976239468,5.965850743280388,0.16762068697852456,3.980151765177094e-10,***,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Liabilities - Portfolio investment, Debt securities",26.403934411708374,43.97334108702397,1.6654086622607553,0.6004532236805603,0.06858362426732227,*,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Assets - Portfolio investment, Equity and investment fund shares",0.4600649758803495,1.8814319868887162,4.089491888158915,0.24452915602925893,6.241422060197546e-07,***,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Liabilities - Portfolio investment, Equity and investment fund shares",0.5110236888288334,0.25992923245020494,0.5086441942562624,1.9660108407650188,0.024140231732644235,**,True,64,41,Full_Series
"Lithuania, Republic of",2015,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities",73.91637213205915,163.17527436223827,2.2075660595288547,0.4529875768308483,0.004742462099193414,***,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",16.619369292340668,113.28946250718828,6.816712506617188,0.1466982800036337,2.217344623442162e-11,***,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Assets - Other investment, Debt instruments",22.239567299582355,183.50614580554284,8.251336158369815,0.12119249304679475,2.813202676012681e-13,***,False,64,41,Full_Series
"Lithuania, Republic of",2015,"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",46.77413665816758,39.53679983723402,0.8452705418418495,1.1830531770585477,0.5756614220112146,,True,64,41,Full_Series
