Indicator,Original_Mean,Winsorized_Mean,Original_SD,Winsorized_SD,Original_Min,Winsorized_Min,Original_Max,Winsorized_Max,N_Observations,N_Lower_Winsorized,N_Upper_Winsorized,Pct_Data_Affected,Dataset
iceland_pgdp,-9.854693457722243,-10.260020084319246,30.545568018375405,23.32468796861988,-120.55640242568089,-69.25906590809987,105.4436824113718,19.506045910381907,105,6,6,11.43,net_debt_portfolio_investment_full.csv
eurozone_pgdp_weighted,-0.45856645036970584,-0.4730802451241206,3.578817448233167,3.2413874094705895,-8.138340417956064,-5.7255899803384365,9.799911081506666,5.966070514194,105,6,6,11.43,net_debt_portfolio_investment_full.csv
eurozone_pgdp_simple,1.150729583470548,1.1267474322309239,5.837944707811848,4.9631615671070275,-17.245051252146165,-7.972943227202924,16.400152708638515,10.610750790517477,105,6,6,11.43,net_debt_portfolio_investment_full.csv
soe_pgdp_weighted,4.202394045885485,4.58773518419358,11.43620747330256,8.876166508887204,-48.395597566714805,-11.849524938544558,33.78166328114543,19.486581415030596,105,6,6,11.43,net_debt_portfolio_investment_full.csv
soe_pgdp_simple,5.404953182411037,5.930908889974941,15.11141175803225,12.129692598707368,-62.95287767305456,-15.474046418063478,47.63413524887813,32.493387487571745,105,6,6,11.43,net_debt_portfolio_investment_full.csv
baltics_pgdp_weighted,-0.05617521833913043,-0.13906075941386073,4.522258182695095,4.036492398455404,-10.8893597102512,-8.422295588191394,13.718075511472591,6.775236903273083,105,6,6,11.43,net_debt_portfolio_investment_full.csv
baltics_pgdp_simple,0.15738842981791856,0.05224554740002621,4.7405474390391,4.2787476937178015,-10.141236748247756,-8.059766277472361,13.8046569415112,7.377483414107425,105,6,6,11.43,net_debt_portfolio_investment_full.csv
iceland_pgdp,-9.854693457722243,-10.260020084319246,30.545568018375405,23.32468796861988,-120.55640242568089,-69.25906590809987,105.4436824113718,19.506045910381907,105,6,6,11.43,net_debt_portfolio_investment_no_crises.csv
eurozone_pgdp_weighted,-0.45856645036970584,-0.4730802451241206,3.578817448233167,3.2413874094705895,-8.138340417956064,-5.7255899803384365,9.799911081506666,5.966070514194,105,6,6,11.43,net_debt_portfolio_investment_no_crises.csv
eurozone_pgdp_simple,1.150729583470548,1.1267474322309239,5.837944707811848,4.9631615671070275,-17.245051252146165,-7.972943227202924,16.400152708638515,10.610750790517477,105,6,6,11.43,net_debt_portfolio_investment_no_crises.csv
soe_pgdp_weighted,4.202394045885485,4.58773518419358,11.43620747330256,8.876166508887204,-48.395597566714805,-11.849524938544558,33.78166328114543,19.486581415030596,105,6,6,11.43,net_debt_portfolio_investment_no_crises.csv
soe_pgdp_simple,5.404953182411037,5.930908889974941,15.11141175803225,12.129692598707368,-62.95287767305456,-15.474046418063478,47.63413524887813,32.493387487571745,105,6,6,11.43,net_debt_portfolio_investment_no_crises.csv
baltics_pgdp_weighted,-0.05617521833913043,-0.13906075941386073,4.522258182695095,4.036492398455404,-10.8893597102512,-8.422295588191394,13.718075511472591,6.775236903273083,105,6,6,11.43,net_debt_portfolio_investment_no_crises.csv
baltics_pgdp_simple,0.15738842981791856,0.05224554740002621,4.7405474390391,4.2787476937178015,-10.141236748247756,-8.059766277472361,13.8046569415112,7.377483414107425,105,6,6,11.43,net_debt_portfolio_investment_no_crises.csv
iceland_pgdp,-0.8332585754188799,-0.7221801107255774,18.039636898933118,13.56555795768132,-60.5033135032538,-35.32958265389411,75.69505543560894,28.129426954238795,105,6,6,11.43,net_direct_investment_full.csv
