COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Gross domestic product (GDP), Current prices, US dollar"
Cyprus,2014.0,1.0,"US dollar, Nominal (Current Prices)",2147947174.22787,-807221764.1252185,25633330.04092523,-1728857789.81875,-1251944478.575265,23232000000.0
Cyprus,2014.0,2.0,"US dollar, Nominal (Current Prices)",3159483231.898346,-543223811.940641,-11638690.50429323,-1653961071.476662,-2151014704.420884,23232000000.0
Cyprus,2014.0,3.0,"US dollar, Nominal (Current Prices)",695056346.3930093,906843637.0925746,554265736.5511619,-256418769.7441754,-198710457.0144871,23232000000.0
Cyprus,2014.0,4.0,"US dollar, Nominal (Current Prices)",2909423086.338323,445390144.7643973,79748603.20845705,-1655168435.866196,-888613108.9161859,23232000000.0
Cyprus,2015.0,1.0,"US dollar, Nominal (Current Prices)",1804109485.079509,214380979.0617907,370789747.1840525,-1430856850.944177,-529661402.2575956,19911000000.0
Cyprus,2015.0,2.0,"US dollar, Nominal (Current Prices)",3031460482.721379,541586754.3958668,-395270500.494884,229282944.2148561,-2631575057.491637,19911000000.0
Cyprus,2015.0,3.0,"US dollar, Nominal (Current Prices)",716098014.2744235,809822740.497597,,-921294226.4378866,1606524123.366164,19911000000.0
Cyprus,2015.0,4.0,"US dollar, Nominal (Current Prices)",5978103289.486187,-1222889315.459864,-207702786.1477389,-5963972691.235696,-1029317127.562616,19911000000.0
Cyprus,2016.0,1.0,"US dollar, Nominal (Current Prices)",-5670948010.434961,541005842.2992057,,1790555052.868189,1742645719.968194,21041000000.0
Cyprus,2016.0,2.0,"US dollar, Nominal (Current Prices)",2519843672.895966,-1189363706.633065,,878817101.9709045,-2585519134.404141,21041000000.0
Cyprus,2016.0,3.0,"US dollar, Nominal (Current Prices)",1050896913.007585,574011833.7640642,-91414047.41708228,2508666464.502443,-2894137496.328882,21041000000.0
Cyprus,2016.0,4.0,"US dollar, Nominal (Current Prices)",-4242088646.949309,-190121696.3155254,-111841135.9108313,1696781758.791101,2467026327.753513,21041000000.0
Cyprus,2017.0,1.0,"US dollar, Nominal (Current Prices)",1360953952.378533,-987845663.4546592,105354810.8002304,-4320181774.88817,1866027348.254746,22938000000.0
Cyprus,2017.0,2.0,"US dollar, Nominal (Current Prices)",4704718742.153351,-595107543.1611582,-29031832.73631273,-2701875399.768422,-2568919052.809773,22938000000.0
Cyprus,2017.0,3.0,"US dollar, Nominal (Current Prices)",-2730049300.358774,186675803.4763374,249798686.8138199,1674267598.419341,1310461018.818168,22938000000.0
Cyprus,2017.0,4.0,"US dollar, Nominal (Current Prices)",8358273286.213449,-766584711.0283908,78939113.18006536,-5990425894.469251,-3213371215.952654,22938000000.0
Cyprus,2018.0,1.0,"US dollar, Nominal (Current Prices)",14079413727.36241,149702340.336524,638508199.9141798,-11598361473.99947,-2969858112.940598,25766000000.0
Cyprus,2018.0,2.0,"US dollar, Nominal (Current Prices)",4548495676.153299,-305858226.8865096,473025079.1699201,-2390873993.920535,-2936504988.289195,25766000000.0
Cyprus,2018.0,3.0,"US dollar, Nominal (Current Prices)",6034019477.851913,543181023.6699561,513286958.8589469,-3393977062.279146,-2610148350.761762,25766000000.0
Cyprus,2018.0,4.0,"US dollar, Nominal (Current Prices)",1196067299.579343,-805274846.4271132,870657642.9557744,-4397636573.746617,1525636784.784384,25766000000.0
Cyprus,2019.0,1.0,"US dollar, Nominal (Current Prices)",1178052626.867339,-1013306602.34793,-756710795.0089064,-625861864.4592961,-808786569.7470605,26200000000.0
Cyprus,2019.0,2.0,"US dollar, Nominal (Current Prices)",-41364087.50241436,218320660.315352,-679852051.0466471,1594686772.449461,-655149973.5850492,26200000000.0
Cyprus,2019.0,3.0,"US dollar, Nominal (Current Prices)",-3199931657.390661,61061084.00453117,-675891172.0656207,-528086473.4642712,4464970386.925081,26200000000.0
Cyprus,2019.0,4.0,"US dollar, Nominal (Current Prices)",250176905.159953,-520515888.3131493,-818249954.9212192,-828225248.2824222,875782409.7305391,26200000000.0
Cyprus,2020.0,1.0,"US dollar, Nominal (Current Prices)",-3075019339.407286,-1766507829.627548,235036161.2314466,3940138061.224042,-2076419551.572022,25535000000.0
Cyprus,2020.0,2.0,"US dollar, Nominal (Current Prices)",-9091941384.176931,440470277.289207,-376017039.6867174,3903322167.345993,6005106533.806865,25535000000.0
Cyprus,2020.0,3.0,"US dollar, Nominal (Current Prices)",-5906057957.979948,195639918.0817964,-296048370.8636123,5889411813.413446,508334433.5119105,25535000000.0
Cyprus,2020.0,4.0,"US dollar, Nominal (Current Prices)",-4076455557.901647,-1318766518.189603,-193429332.2816538,1724724480.806561,1226393891.187137,25535000000.0
Cyprus,2021.0,1.0,"US dollar, Nominal (Current Prices)",-3340712046.702312,-142208161.3556316,-150309408.3811732,3627912416.361259,-279099122.6334065,30393000000.0
Cyprus,2021.0,2.0,"US dollar, Nominal (Current Prices)",-1007660242.158797,-508978066.7092253,-92517830.16544104,116460022.6057258,474739983.0092867,30393000000.0
Cyprus,2021.0,3.0,"US dollar, Nominal (Current Prices)",-463922101.9137075,-443078593.1321323,9908011.114857908,-602393775.7466238,614214535.519178,30393000000.0
Cyprus,2021.0,4.0,"US dollar, Nominal (Current Prices)",547798843.1395133,-559172644.9309398,-385090783.7332897,-1459764201.383023,737883497.0458596,30393000000.0
Cyprus,2022.0,1.0,"US dollar, Nominal (Current Prices)",-1391290464.759436,-683816906.4700106,70038595.77352509,2329956737.501063,-1692521774.985162,31001000000.0
Cyprus,2022.0,2.0,"US dollar, Nominal (Current Prices)",864078159.2916822,-2007219018.026981,-264049325.4791702,-3102540736.303223,495292884.4637302,31001000000.0
Cyprus,2022.0,3.0,"US dollar, Nominal (Current Prices)",-2448962090.0157,555641032.9026697,-73699956.67235664,157205042.1184716,2921098037.472255,31001000000.0
Cyprus,2022.0,4.0,"US dollar, Nominal (Current Prices)",-2505787463.207054,558268712.6828516,49139333.45940229,584633622.4356242,2430283219.994877,31001000000.0
Cyprus,2023.0,1.0,"US dollar, Nominal (Current Prices)",-1692563038.602535,-1306782611.1014,-130710880.695723,801425431.1559644,-284934122.959106,33897000000.0
Cyprus,2023.0,2.0,"US dollar, Nominal (Current Prices)",-6340173588.471903,-941588214.0487028,97943349.56703337,3622970683.073243,1677671341.782925,33897000000.0
Cyprus,2023.0,3.0,"US dollar, Nominal (Current Prices)",-2386059145.087246,-396421388.5048774,11876732.38803281,-504721767.7783916,2482482791.972728,33897000000.0
Cyprus,2023.0,4.0,"US dollar, Nominal (Current Prices)",-1808204500.92627,-461760820.1865854,10220512.12906864,1077263622.772284,258959545.8383314,33897000000.0
Cyprus,2024.0,1.0,"US dollar, Nominal (Current Prices)",914136973.4492036,-958568610.363666,13965786.41810906,-2318706616.972806,432035246.7418275,36156000000.0
Cyprus,2024.0,2.0,"US dollar, Nominal (Current Prices)",-2210151615.549822,-324864299.3855655,220612677.7042417,1354577436.469241,310097201.990773,36156000000.0
Cyprus,2024.0,3.0,"US dollar, Nominal (Current Prices)",-1042267231.562431,-66297022.89976966,-70034813.72794196,189812960.342063,856192062.0485398,36156000000.0
Cyprus,2024.0,4.0,"US dollar, Nominal (Current Prices)",-3241485873.309904,-1721062980.629143,-15250523.4129015,-689846074.2269074,2225519490.320569,36156000000.0
Cyprus,2025.0,1.0,"US dollar, Nominal (Current Prices)",-2773444281.432554,-873826836.8862034,9883967.144192738,-329239995.8394367,2218973473.241594,38736000000.0
"Estonia, Republic of",1999.0,1.0,"US dollar, Nominal (Current Prices)",-100653407.0510519,-7201838.15609966,,237675019.7458175,-144180369.0672794,5771000000.0
"Estonia, Republic of",1999.0,2.0,"US dollar, Nominal (Current Prices)",-91931908.29788788,-142689784.4423621,,-51616231.70643801,858355.5619638113,5771000000.0
"Estonia, Republic of",1999.0,3.0,"US dollar, Nominal (Current Prices)",-7089600.578961695,-24170311.23659247,,-40225777.19802179,23145066.54039102,5771000000.0
"Estonia, Republic of",1999.0,4.0,"US dollar, Nominal (Current Prices)",-22596419.79952653,-244099749.9612777,,-320671342.9070881,99168012.74533688,5771000000.0
"Estonia, Republic of",2000.0,1.0,"US dollar, Nominal (Current Prices)",-46947072.37400083,69252613.88789874,2108703.896303964,129483258.1116707,-15392275.74607504,5707000000.0
"Estonia, Republic of",2000.0,2.0,"US dollar, Nominal (Current Prices)",-35818096.39091524,-130801452.5531172,2263641.576147553,88359666.16761716,-185606663.9059667,5707000000.0
"Estonia, Republic of",2000.0,3.0,"US dollar, Nominal (Current Prices)",-116008582.9463103,-88420541.23457932,-2700967.605739701,-30792187.43674126,61081196.75421195,5707000000.0
"Estonia, Republic of",2000.0,4.0,"US dollar, Nominal (Current Prices)",-125111096.2982713,-242900946.5404613,-2338577.078611741,-164211438.47487,48760165.31129183,5707000000.0
"Estonia, Republic of",2001.0,1.0,"US dollar, Nominal (Current Prices)",-175393800.99825,81172088.20301282,3919018.873467645,334674768.3751647,-82027898.04736947,6265000000.0
"Estonia, Republic of",2001.0,2.0,"US dollar, Nominal (Current Prices)",-14511003.19141609,-39715499.50389112,-1439938.008994366,-66968279.72838527,43203721.42490461,6265000000.0
"Estonia, Republic of",2001.0,3.0,"US dollar, Nominal (Current Prices)",-46015186.45211,-55909702.57008719,-2388331.476753114,-54869072.42664476,47362887.78542069,6265000000.0
"Estonia, Republic of",2001.0,4.0,"US dollar, Nominal (Current Prices)",-106513483.0817384,-254981965.3046819,2066833.33651406,-176173209.4123937,25637893.85293617,6265000000.0
