COUNTRY,GROUP,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP"
Portugal,Eurozone,2010,3,"US dollar, Nominal (Current Prices), % of GDP",-0.4154887735868823,-16.05474589484535,8.926516621340182,-0.5799530799240694,2.3414523594215533,-0.9088816924308265,2.921405440016091,-14.33869069850276,-9.45886161272885,5.342925949237133,-6.208527560038384,-8.995764750941799,-7.117409253307297
Portugal,Eurozone,2010,4,"US dollar, Nominal (Current Prices), % of GDP",-6.92114847782634,-2.991575361948382,-6.629731700183123,1.099642998168782,-6.03323798205658,-1.088259530420426,-7.13288098089583,-7.822719134760035,-5.152157566868785,3.376336577005435,-10.097136018840173,-4.446382557754601,-11.185395548925364
Portugal,Eurozone,2011,1,"US dollar, Nominal (Current Prices), % of GDP",-5.198049587787255,-5.438885860878708,-2.7473174995822855,-8.870802771178116,-8.199583154497256,-1.0213242002909737,0.6712196163548412,6.738955749990831,-10.951360584881593,-0.11818817165003281,-18.131849503836857,6.6185376118149994,-19.15094373937885
Portugal,Eurozone,2011,2,"US dollar, Nominal (Current Prices), % of GDP",-0.9289453862737027,-15.587985079650995,5.787142090527868,-1.4074930095401883,-28.492350154656194,-3.3357584331432903,-27.08485714495299,-0.31903174873565,9.707010122135602,2.751648833048744,-15.449581601007406,2.4349629061507927,-18.78534003252059
Portugal,Eurozone,2011,3,"US dollar, Nominal (Current Prices), % of GDP",-6.620705121381677,-13.782580922068766,-2.484779418297111,-3.8227375653570137,-16.41244013969998,-1.667266263759103,-12.589702574342965,-1.0938556287925405,11.477424113324885,7.265504229714365,-3.270052616521927,6.171648599943761,-4.935016026375096
Portugal,Eurozone,2011,4,"US dollar, Nominal (Current Prices), % of GDP",6.711572384395007,-21.139035612083966,-0.23514677316684526,-0.9164131251146169,-13.383587366687994,-2.6063932040931928,-12.469371874987264,3.621699832506734,0.5713846823944609,7.0500079271995215,-10.205809479874318,10.671707759706255,-12.812202683967511
Portugal,Eurozone,2012,1,"US dollar, Nominal (Current Prices), % of GDP",5.4447731116792975,-10.187775467291877,-0.30732719347960535,-1.8681621514348747,-30.541547308860316,-0.8711636979056093,-28.675805056444243,-2.175489345283698,29.883334736978135,9.055262660033044,0.21295112620803602,6.882193213768149,-0.6582125716975733
Portugal,Eurozone,2012,2,"US dollar, Nominal (Current Prices), % of GDP",10.79432488623462,-9.384415257945115,10.207651081348015,-12.284665599010495,-41.4291062296353,-2.195295527843673,-29.144440630624807,-9.5121587472424,23.8501826652021,10.898412173126449,-15.381262416348985,1.3886190463092019,-17.578923564433204
Portugal,Eurozone,2012,3,"US dollar, Nominal (Current Prices), % of GDP",-8.249027119082124,-12.12196150899508,-6.137146924873313,-4.193755533197338,-13.516033244413267,0.19849365756851306,-9.322277711215927,-5.437802992514099,8.419823988111172,6.088677543221614,-5.294702914055216,0.6508745516305602,-5.096209256302094
Portugal,Eurozone,2012,4,"US dollar, Nominal (Current Prices), % of GDP",-6.908550471214821,-5.02940559365683,0.0837835296343816,-0.12687220201777785,0.9192250108457867,1.5655550965967306,1.0460972127712602,-3.2579823956727623,-2.9515740587241663,2.8007637058438024,-3.5979041435520642,-0.4548248751580716,-2.0323490478783794
