COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD
"Lithuania, Republic of",2017,1,% of GDP (annualized),47745000000,-2.549714161096153e-06,-4.250088579424254e-06,1.3657590023924884e-06,8.50570799216976e-06,8.426492185891214e-07,9.348357210758881e-06,-5.619148240411682e-07,4.250802235336673e-06,-1.1820818119335638e-06,-1.4861884376132494e-07,-1.3307006556948893e-06,-1.9877993370549846e-06,1.067905786645377e-05,Post-Euro
"Lithuania, Republic of",2017,2,% of GDP (annualized),47745000000,3.097830821670257e-07,6.0201332859039964e-06,4.068915374621258e-06,5.891972654593168e-06,7.806903009604178e-07,6.672662955553585e-06,3.0261790566146357e-06,4.319696552315935e-06,1.2585687932869282e-05,3.5484243957313857e-07,1.2940530372442416e-05,-2.7163959744476094e-06,-6.267867416888835e-06,Post-Euro
"Lithuania, Republic of",2017,3,% of GDP (annualized),47745000000,4.908627609173768e-06,-3.9091101450816695e-06,-6.384138572706005e-06,5.941406558238117e-06,1.7142457639543524e-06,7.655652322192469e-06,5.372025043298972e-06,-7.2753101937376146e-06,-1.4052485366973682e-06,1.119868931905886e-07,-1.2932616435067797e-06,-4.633974341252046e-07,8.948913965699253e-06,Post-Euro
"Lithuania, Republic of",2017,4,% of GDP (annualized),47745000000,1.1089052424337493e-06,-5.451509165058356e-06,-1.137510697006405e-05,5.928825698427589e-06,1.70646332450666e-06,7.635289022934248e-06,3.7563893828822322e-06,-4.371998493185473e-06,6.1963360184311765e-06,-4.8037435782355105e-08,6.148298582648821e-06,-2.6474841404484825e-06,1.4869904402854272e-06,Post-Euro
"Lithuania, Republic of",2018,1,% of GDP (annualized),54294000000,3.139891532345101e-06,-5.475611490877774e-06,2.430898373406193e-06,1.9589909329628875e-06,7.71841703108482e-07,2.7308326360713693e-06,3.456941608912365e-06,-7.088754311184168e-06,-9.262553236611367e-06,4.949096453699232e-07,-8.76764359124144e-06,-3.170500765672646e-07,1.1498476227312809e-05,Post-Euro
"Lithuania, Republic of",2018,2,% of GDP (annualized),54294000000,4.1741448501720725e-06,-6.224524968996081e-06,-2.750606260097196e-06,3.013772609794703e-06,1.2462217033540738e-06,4.259994313148777e-06,9.94466836465331e-07,5.44239949341069e-09,-1.092254466072743e-06,4.0817996200580705e-08,-1.0514364698721626e-06,3.179678013706742e-06,5.31143078302094e-06,Post-Euro
"Lithuania, Republic of",2018,3,% of GDP (annualized),54294000000,-9.576685008967951e-07,3.6241986871476323e-06,1.397349548186324e-06,1.5340002244191371e-06,4.2785797937722273e-07,1.9618582037963604e-06,3.789121917083787e-06,6.590075245033235e-07,4.7986234331033735e-06,1.0794975050366457e-07,4.906573183607038e-06,-4.7467904179805815e-06,-2.944714979810677e-06,Post-Euro
"Lithuania, Republic of",2018,4,% of GDP (annualized),54294000000,1.3034983727483698e-06,1.8260413627656831e-06,-4.874685321582497e-06,1.291052868641102e-06,3.6344235642980813e-07,1.6544952250709101e-06,1.335789410432092e-06,-2.4097186871477523e-06,9.220604901094042e-07,-7.166255810955171e-07,2.0543490901388737e-07,-3.229103768372222e-08,1.4490603160570227e-06,Post-Euro
"Lithuania, Republic of",2019,1,% of GDP (annualized),55132000000,2.2881884225909187e-06,-8.018959952736603e-06,1.3459010914065639e-06,-3.405171787191174e-06,2.419128043863497e-06,-9.86043743327677e-07,3.2504174707972764e-06,-6.801443965132859e-06,1.1918884091167901e-06,8.059090598148655e-08,1.2724793150982767e-06,-9.622290482063578e-07,-2.258523058425954e-06,Post-Euro
"Lithuania, Republic of",2019,2,% of GDP (annualized),55132000000,1.282638776028441e-05,-2.353549415947182e-06,-2.6803950446201853e-06,-2.5661743597184944e-06,6.023612479140972e-06,3.4574381194224776e-06,1.611701965464703e-05,-4.0943346151055656e-07,1.279027086991221e-05,-2.1523383878691148e-08,1.276874748603352e-05,-3.2906318943626213e-06,-9.311309366611043e-06,Post-Euro
"Lithuania, Republic of",2019,3,% of GDP (annualized),55132000000,1.2114146007707953e-06,7.612485464087122e-07,1.0293313060225481e-06,-1.6933665736666888e-06,2.2758394970527527e-07,-1.4657826239614133e-06,4.279320463724433e-06,-1.5971213939437562e-06,-1.2415870209018743e-07,-3.0599997207802525e-07,-4.3015867416821263e-07,-3.0679058629536365e-06,-1.0356239497932002e-06,Post-Euro
"Lithuania, Republic of",2019,4,% of GDP (annualized),55132000000,-6.445201008488716e-07,1.5511777078194145e-05,1.2422916101356737e-06,-7.0104412813792336e-06,4.92386368170935e-07,-6.518054913208298e-06,1.2701640521838495e-06,2.5133392267648546e-06,3.6145818218094744e-08,1.0506384495392877e-07,1.412096631720235e-07,-1.9146841530327205e-06,-6.659264576380321e-06,Post-Euro
"Lithuania, Republic of",2020,1,% of GDP (annualized),57352000000,2.1934785367118837e-06,-7.175140382746025e-06,2.420886012802517e-06,-7.837367564557471e-07,-1.9803753523198833e-06,-2.7641121087756304e-06,2.2916090539562696e-06,-2.3002223908930803e-06,-1.0708838765866927e-05,4.5066209330101814e-08,-1.0663772556536824e-05,-9.813051724438555e-08,7.899660447761193e-06,Post-Euro
"Lithuania, Republic of",2020,2,% of GDP (annualized),57352000000,1.9699988871890062e-05,3.05546442546086e-05,5.107151308276196e-06,-1.0585485985808013e-07,2.8246654948051262e-06,2.7188106349470463e-06,1.9262127695408883e-05,7.831569638992209e-07,1.0130263997768112e-05,6.237601321100222e-08,1.019264001097911e-05,4.378611764811732e-07,-7.47382937603207e-06,Post-Euro
"Lithuania, Republic of",2020,3,% of GDP (annualized),57352000000,-1.3341625099861712e-06,2.5474636743533687e-05,1.1005842021730715e-05,-1.0401820632394476e-06,8.803108330480095e-07,-1.5987123019143792e-07,3.4240651035392107e-06,6.2812028563638585e-06,9.723366589736057e-06,-3.733861470049901e-08,9.686027975035564e-06,-4.758227613525381e-06,-9.845899205226998e-06,Post-Euro
"Lithuania, Republic of",2020,4,% of GDP (annualized),57352000000,6.843899249976078e-06,1.5403266025301744e-05,2.3514359895705564e-06,-3.628115226026706e-06,1.1696029133985375e-06,-2.458512312628169e-06,6.829256334002389e-06,-5.260717158706996e-06,-3.2605447557325863e-07,2.9348230737041842e-06,2.6087685981309256e-06,1.4642915973689614e-08,-5.067280910759094e-06,Post-Euro
"Lithuania, Republic of",2021,1,% of GDP (annualized),67068000000,-1.7784921912940963e-06,1.5368040847810227e-05,-8.56169733802496e-06,-1.0480600589593344e-05,-1.3940504448931717e-08,-1.0494541094042273e-05,1.8230443189143926e-06,1.948796292036196e-07,-9.385624265919019e-06,-9.708052325003328e-08,-9.482704789169058e-06,-3.601536510208489e-06,-1.0118363048732187e-06,Post-Euro
"Lithuania, Republic of",2021,2,% of GDP (annualized),67068000000,3.608615535807638e-06,1.0128172786491614e-05,4.0797485325008594e-06,6.247276755266398e-06,1.5614056619152128e-06,7.808682417181614e-06,1.3747072556542441e-06,2.7569658721164233e-06,1.815922480003644e-07,-5.271569021159093e-08,1.2887655778877347e-07,2.2339082801533937e-06,7.679805859392836e-06,Post-Euro
"Lithuania, Republic of",2021,3,% of GDP (annualized),67068000000,4.0554548696845534e-06,2.2733016644346795e-06,1.7559998661693208e-06,-9.502379865934472e-07,1.520197986394652e-06,5.699599998012044e-07,6.237922894086772e-06,1.021597231665388e-06,4.059391931481626e-06,-2.0177441709997e-08,4.039214489771629e-06,-2.1824680244022186e-06,-3.469254489970425e-06,Post-Euro
"Lithuania, Republic of",2021,4,% of GDP (annualized),67068000000,1.6893381651549212e-06,1.1167500545624841e-05,-3.202840575065498e-05,7.374503288657106e-06,1.5099013983998706e-06,8.884404687056975e-06,5.520050561619256e-06,6.9203529922595804e-06,-4.799302651673468e-07,-1.699568311492153e-07,-6.498870963165623e-07,-3.830712396464336e-06,9.534291783373537e-06,Post-Euro
