COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD
"Estonia, Republic of",2008,4,% of GDP (annualized),24434000000,4.926163554882542e-07,6.748188168944914e-06,5.252992240627814e-06,-8.045578090468202e-06,-2.2855785032383155e-06,-1.0331156593706516e-05,2.412163128222968e-06,1.0337348819268235e-05,7.767251575673244e-08,-2.169673849170214e-06,-2.0920013334134814e-06,-1.919546772734714e-06,-8.239155260293036e-06,Pre-Euro
"Estonia, Republic of",2009,1,% of GDP (annualized),19694000000,4.726444338828457e-06,-1.3723312058817186e-05,-1.2014100100554197e-05,-1.0299040023470067e-07,-2.847848631361379e-07,-3.8777526337083856e-07,4.99868617788668e-06,-1.6079707012594066e-05,-1.885634619713335e-06,-6.444574016741779e-07,-2.530092021387513e-06,-2.722418390582222e-07,2.1423167580166754e-06,Pre-Euro
"Estonia, Republic of",2009,2,% of GDP (annualized),19694000000,2.2150466771932834e-06,-1.609991346809387e-05,-1.6216560447557075e-05,8.695474418047618e-06,5.189170873722724e-07,9.214363818028611e-06,1.0188959991089328e-06,-5.7305147480319045e-06,-6.364223759651611e-07,3.164668823319322e-08,-6.04775687731968e-07,1.1961506780843512e-06,9.819139505760578e-06,Pre-Euro
"Estonia, Republic of",2009,3,% of GDP (annualized),19694000000,9.456626922920385e-06,-1.3493987231920688e-07,6.905319192739596e-08,2.505959798923451e-06,1.5844758915035915e-06,4.090435690427042e-06,5.586423562321526e-06,-8.251754758347919e-06,-4.957769345531938e-07,4.886885968038102e-07,-7.088337749383528e-09,3.870203360598858e-06,4.097524028176425e-06,Pre-Euro
"Estonia, Republic of",2009,4,% of GDP (annualized),19694000000,1.1285109254954834e-05,7.555835766207713e-06,4.942696724219092e-06,1.006958474974823e-06,-2.018719852200234e-07,8.051165078938657e-07,2.630189344978209e-05,1.5565605831374116e-05,-2.3896569984548593e-05,-1.9095138622774916e-06,-2.580608384682608e-05,-1.5016784194827247e-05,2.6611200354719933e-05,Pre-Euro
"Estonia, Republic of",2010,1,% of GDP (annualized),19569000000,4.747976848513927e-06,5.505625812124152e-07,-3.4598633678306305e-06,-2.580608395883608e-06,1.8935146616570749e-06,-6.870937342265328e-07,1.0393101882195983e-05,-1.6129615159707157e-05,-2.715358707771455e-07,3.986822737290088e-07,1.2714640295186343e-07,-5.645125033682056e-06,-8.142401371783962e-07,Pre-Euro
"Estonia, Republic of",2010,2,% of GDP (annualized),19569000000,4.09965024811678e-06,-5.3463873648555216e-06,-8.009554785208588e-06,4.5045449973922405e-07,4.4952720037117586e-06,4.945726503450982e-06,8.986465968185883e-06,-5.079055009226638e-06,-9.103897913366429e-07,7.662038307754372e-07,-1.4415998578899164e-07,-4.8868157200691024e-06,5.0898864892399735e-06,Pre-Euro
"Estonia, Republic of",2010,3,% of GDP (annualized),19569000000,1.1302350902556204e-06,1.520728160395934e-05,1.196456854375433e-05,6.177671990671735e-06,3.436174346872081e-07,6.5212894253589436e-06,6.155821500239279e-06,-8.463159399359265e-06,9.260068952595139e-08,2.9535107357493524e-07,3.8795176310088667e-07,-5.025586409983658e-06,6.133337662258054e-06,Pre-Euro
"Estonia, Republic of",2010,4,% of GDP (annualized),19569000000,1.539741580465086e-05,1.1556585309913507e-05,4.74309527295027e-06,-3.866872846942528e-06,1.7641888978393508e-06,-2.1026839491031774e-06,2.745158217663378e-05,-1.126281758210654e-05,-1.5204791242178058e-06,5.430857691741898e-07,-9.773655913419048e-07,-1.205416637198292e-05,-1.125318357761273e-06,Pre-Euro
"Estonia, Republic of",2012,1,% of GDP (annualized),23252000000,3.727829295743029e-06,3.1662477043497226e-06,3.910144874220981e-06,-3.625340204316649e-07,2.426319308975945e-06,2.06378528854428e-06,5.502931339305897e-06,-7.054722167820261e-07,-3.4726776852942954e-07,-1.7151419788537933e-07,-5.187819664148088e-07,-1.7751020435628679e-06,2.5825672549590904e-06,Post-Euro
"Estonia, Republic of",2012,2,% of GDP (annualized),23252000000,3.1725143886893343e-06,9.230066633463112e-06,-1.1220424437994612e-06,2.773494933380609e-06,-4.6404942012617804e-07,2.309445513254431e-06,8.742319853276337e-06,-4.069839726946718e-06,6.42363788061224e-06,1.3729037996037414e-07,6.560928260572614e-06,-5.569805464587003e-06,-4.251482747318184e-06,Post-Euro
"Estonia, Republic of",2012,3,% of GDP (annualized),23252000000,4.737766804853786e-06,5.660964807103374e-06,4.3036977040849575e-06,5.0374555795100565e-06,1.5378030276965239e-07,5.191257390014363e-06,8.092048578147027e-06,-2.833837610157569e-06,-1.8470842520080768e-07,-2.1056072225383175e-08,-2.0576449742619079e-07,-3.354281773293241e-06,5.3970218874405525e-06,Post-Euro
"Estonia, Republic of",2012,4,% of GDP (annualized),23252000000,1.0406697891149145e-05,1.53099535799071e-05,-1.6370953778169617e-05,-5.349346891450197e-06,1.8263238842895237e-06,-3.523023007160672e-06,8.410017045415446e-06,-5.015904982367106e-06,-3.07789099647342e-07,-2.0443281509117495e-06,-2.3521172505590917e-06,1.9966808457337e-06,-1.1709057566015823e-06,Post-Euro
"Estonia, Republic of",2013,1,% of GDP (annualized),25451000000,5.0981438419938005e-06,-1.3539771076363425e-05,-9.41346823358256e-06,-7.299340977793074e-07,6.056908792480592e-07,-1.2424321853124814e-07,3.3812793998842465e-06,-9.352612717923754e-06,8.904166513515777e-09,-4.743492342654769e-07,-4.6542431211906246e-07,1.7168644421095533e-06,3.412018492207129e-07,Post-Euro
"Estonia, Republic of",2013,2,% of GDP (annualized),25451000000,3.091803479303102e-06,1.1963463027279506e-05,6.597109293737561e-07,-4.626763070974063e-06,3.220111968756532e-06,-1.4066305728592194e-06,9.170341182065678e-06,-5.598253365040498e-06,2.463974643388733e-06,5.593223672253923e-07,3.023317539972438e-06,-6.078537702762578e-06,-4.429948112831657e-06,Post-Euro
"Estonia, Republic of",2013,3,% of GDP (annualized),25451000000,1.7400014160067709e-06,-4.184407050839265e-06,1.7500117102501372e-06,2.4525012782018687e-06,1.557610108836603e-06,4.010111387038473e-06,2.67969957810793e-06,-3.157529839703894e-06,-1.3363014415103183e-07,1.5951955379499445e-07,2.588940964396256e-08,-9.396773506786156e-07,3.9842219773945085e-06,Post-Euro
"Estonia, Republic of",2013,4,% of GDP (annualized),25451000000,3.4485495915681085e-06,-5.242212908137201e-07,-4.072233466121173e-06,1.0961332862952332e-05,1.2062779376301511e-06,1.2167610800582485e-05,2.0244592904502757e-06,7.163744466769474e-06,6.813721731218807e-07,4.209513221484418e-08,7.234673053367251e-07,1.424111690920788e-06,1.1444143495245758e-05,Post-Euro
"Estonia, Republic of",2014,1,% of GDP (annualized),27063000000,5.899614224258426e-06,1.703796992428544e-05,1.9199177258377668e-05,-4.0547942021231867e-07,4.826885319791575e-07,7.720911176683892e-08,8.58915942096279e-06,5.270645398197678e-06,2.4241312836537564e-06,1.6933776086250854e-07,2.593469044516265e-06,-2.6895451967043654e-06,-2.5162599327494262e-06,Post-Euro
"Estonia, Republic of",2014,2,% of GDP (annualized),27063000000,7.61190234256291e-07,1.8629726698635612e-06,1.2475539523549348e-05,7.161818877815766e-06,1.7766441890070619e-06,8.938463066822827e-06,2.451384352997198e-06,2.4900295203665283e-06,3.529740562343879e-07,2.2271126868847874e-07,5.756853249228667e-07,-1.6901941187409067e-06,8.362777741899963e-06,Post-Euro
