COUNTRY,YEAR,yearly_sd_net_capital_flows_pgdp,mean_overall_restrictions_index
Malaysia,2011,13.857782677968887,0.75
Malaysia,2012,3.122959852089994,0.75
Malaysia,2013,3.8798290440015704,0.875
Malaysia,2014,5.382732200047292,0.875
Malaysia,2015,6.934680842088572,0.875
Malaysia,2016,3.7472827607473627,0.875
Malaysia,2017,2.420215154264348,0.875
Malaysia,2018,1.9231646906604938,0.875
Malaysia,2019,2.0480505420570965,0.875
Malta,1999,12.737277623508552,0.875
Malta,2000,3.1949365924714748,0.775
Malta,2001,4.989560539262865,0.675
Malta,2002,4.939703406576477,0.625
Malta,2003,4.281614077182672,0.625
Malta,2004,3.9770749169206874,0.2
Malta,2005,4.465336438531276,0.07500000000000001
Malta,2006,8.557575236740696,0.07500000000000001
Malta,2007,19.800162277748754,0.07500000000000001
Malta,2008,27.337219706202966,0.07500000000000001
Malta,2009,21.034095644489096,0.07500000000000001
Malta,2010,15.87324557011124,0.07500000000000001
Malta,2011,11.408121139992623,0.07500000000000001
Malta,2012,28.23839644521742,0.07500000000000001
Malta,2013,7.944492318471965,0.07500000000000001
Malta,2014,13.535448713345872,0.07500000000000001
Malta,2015,12.694948188906885,0.07500000000000001
Malta,2016,5.298623829155319,0.07500000000000001
Malta,2017,26.55335385517602,0.07500000000000001
Malta,2018,6.114638530623235,0.07500000000000001
Malta,2019,14.297307894201698,0.175
Mauritius,2000,10.898257850929955,0.125
Mauritius,2001,5.5825666803848915,0.125
Mauritius,2002,5.7679481586422865,0.125
Mauritius,2003,2.0822544523892255,0.125
Mauritius,2004,2.6666699394717024,0.125
Mauritius,2005,3.773283563743632,0.075
Mauritius,2006,6.588970446971502,0.125
Mauritius,2007,5.636878346354757,0.125
Mauritius,2008,7.515426378879588,0.125
Mauritius,2009,2.079230618708184,0.125
Mauritius,2010,24.774885177403263,0.125
Mauritius,2011,9.528612053134953,0.125
Mauritius,2012,30.220447784892297,0.125
Mauritius,2013,14.42323047643482,0.125
Mauritius,2014,16.636572913030985,0.125
Mauritius,2015,15.604033854058562,0.125
Mauritius,2016,5.649805144961754,0.125
Mauritius,2017,8.228146016260439,0.125
Mauritius,2018,7.141706454579445,0.125
Mauritius,2019,4.882796877089447,0.125
Mexico,1999,1.7312036311961783,0.6
Mexico,2000,1.9989635086264352,0.6499999999999999
Mexico,2001,1.2528444676795427,0.525
Mexico,2002,0.8730220816928935,0.525
Mexico,2003,2.089036658270021,0.525
Mexico,2004,2.500250689990632,0.525
Mexico,2005,0.7664118812945419,0.6000000000000001
Mexico,2006,2.0073672438039902,0.575
Mexico,2007,1.691230766149108,0.575
Mexico,2008,2.231389482273484,0.575
Mexico,2009,5.424795685682638,0.575
Mexico,2010,1.3505586312327322,0.55
Mexico,2011,2.079036425135535,0.575
Mexico,2012,4.969577550074836,0.575
Mexico,2013,2.766166025430536,0.6
Mexico,2014,2.334789297896863,0.625
Mexico,2015,1.5822340981004677,0.625
Mexico,2016,1.6686208012792723,0.625
Mexico,2017,2.3497083174997693,0.625
Mexico,2018,0.9289642422234805,0.625
Mexico,2019,2.4938522241375924,0.625
"Moldova, Republic of",1999,26.644061865363096,0.575
"Moldova, Republic of",2000,11.3048084639011,0.55
"Moldova, Republic of",2001,7.5158675457763815,0.725
"Moldova, Republic of",2002,4.194006279610453,0.8
"Moldova, Republic of",2003,9.856254696296,0.625
"Moldova, Republic of",2004,4.238864126604659,0.7
"Moldova, Republic of",2005,4.755000105485259,0.7
"Moldova, Republic of",2006,13.760528954346873,0.575
"Moldova, Republic of",2007,13.873622396586414,0.625
"Moldova, Republic of",2008,7.237726040816081,0.625
"Moldova, Republic of",2009,10.628673904782646,0.65
"Moldova, Republic of",2010,2.264869302455475,0.65
"Moldova, Republic of",2011,3.848904390855248,0.65
"Moldova, Republic of",2012,4.436610634027831,0.65
"Moldova, Republic of",2013,7.7224128504481,0.65
"Moldova, Republic of",2014,9.754069165896404,0.65
"Moldova, Republic of",2015,6.467589488203666,0.65
"Moldova, Republic of",2016,6.13408694244781,0.65
"Moldova, Republic of",2017,4.190262962979698,0.65
"Moldova, Republic of",2018,3.6078381615141217,0.65
"Moldova, Republic of",2019,5.426012806105313,0.65
Morocco,2003,4.809894942869238,0.7749999999999999
Morocco,2004,3.430509416906034,0.7749999999999999
Morocco,2005,2.5283296702999323,0.7749999999999999
Morocco,2006,3.809213967414303,0.7749999999999999
Morocco,2007,1.8129497086504243,0.7749999999999999
Morocco,2008,1.7013034019138518,0.7749999999999999
Morocco,2009,3.9169963371726424,0.7749999999999999
Morocco,2010,3.6524542652127234,0.7749999999999999
Morocco,2011,0.8006845091195315,0.7749999999999999
Morocco,2012,3.279127199737501,0.7749999999999999
Morocco,2013,5.084228955950501,0.7749999999999999
Morocco,2014,5.965006867599322,0.7749999999999999
Morocco,2015,3.2904532181441213,0.7749999999999999
Morocco,2016,2.2451731816991694,0.7749999999999999
Morocco,2017,5.671224178891096,0.7749999999999999
Morocco,2018,2.3740177099859174,0.7749999999999999
Morocco,2019,3.48434213465538,0.7749999999999999
Myanmar,2014,3.427661503099072,1
Myanmar,2015,2.044130540079965,0.9
Myanmar,2016,1.37160906171164,0.9
Myanmar,2017,2.680023120973571,0.9
Myanmar,2018,1.5337426125229892,0.9
Myanmar,2019,2.2747068180083936,0.9
"Netherlands, The",1999,3.940806752313297,0
"Netherlands, The",2000,10.1801067698974,0
"Netherlands, The",2001,4.7956000976345505,0
"Netherlands, The",2002,6.626331914421461,0
"Netherlands, The",2003,3.802876263198372,0
"Netherlands, The",2004,2.132462326553353,0
"Netherlands, The",2005,3.5288336151250745,0
"Netherlands, The",2006,5.923710238036662,0
"Netherlands, The",2007,10.076246208387955,0
"Netherlands, The",2008,2.6847890694918117,0
"Netherlands, The",2009,3.9031960978826827,0
"Netherlands, The",2010,10.65711129947062,0
"Netherlands, The",2011,8.743068054235792,0
"Netherlands, The",2012,5.465584760820138,0
"Netherlands, The",2013,2.946457374174909,0
"Netherlands, The",2014,3.575739792512963,0
"Netherlands, The",2015,14.421148410860775,0
"Netherlands, The",2016,5.237763033191062,0
"Netherlands, The",2017,6.998805695950168,0
"Netherlands, The",2018,6.021434025326499,0
"Netherlands, The",2019,4.7498281369214945,0
New Zealand,2000,1.7172815186112218,0.1
New Zealand,2001,4.759615906842442,0.1
New Zealand,2002,4.568304282152052,0.1
New Zealand,2003,3.8756235698473063,0.1
New Zealand,2004,12.056563773775943,0.1
New Zealand,2005,6.99148340201091,0.1
New Zealand,2006,6.231734629415711,0.1
New Zealand,2007,4.502424346419483,0.1
New Zealand,2008,11.132439245674021,0.1
New Zealand,2009,5.2808846573258,0.1
New Zealand,2010,8.6238403184451,0.1
New Zealand,2011,14.862808617798839,0.1
New Zealand,2012,3.7788410367936542,0.1
New Zealand,2013,4.8885869411059755,0.1
New Zealand,2014,1.4071463068432417,0.1
New Zealand,2015,3.473875117234687,0.1
New Zealand,2016,7.182614091018512,0.1
New Zealand,2017,2.108124153916267,0.1
New Zealand,2018,2.489940743688135,0.1
New Zealand,2019,3.2581177066936657,0.1
Nicaragua,1999,4.8276412625164795,0
Nicaragua,2000,4.758455572932427,0
Nicaragua,2001,16.82372581588691,0
Nicaragua,2002,15.65570188222423,0
Nicaragua,2003,11.43005550153449,0
Nicaragua,2004,33.16128876190048,0
Nicaragua,2006,30.114706718941257,0
Nicaragua,2007,36.71716873292007,0
Nicaragua,2008,14.85689070411893,0
Nicaragua,2009,16.61040948062693,0.1
Nicaragua,2010,3.5965580284699303,0.1
Nicaragua,2011,8.968337006621132,0.1
Nicaragua,2012,9.179914766562927,0.1
Nicaragua,2013,2.503050144706238,0.1
Nicaragua,2014,6.908186952304959,0.1
Nicaragua,2015,8.531425346106701,0.1
Nicaragua,2016,3.1281539113520034,0.1
Nicaragua,2017,4.417012350674373,0.1
Nicaragua,2018,6.208902291432102,0.1
Nicaragua,2019,3.942294645932277,0.1
Nigeria,2014,2.1827746624249142,0.175
Nigeria,2015,3.2544038771175403,0.2
Nigeria,2016,6.062890251055001,0.2
Nigeria,2017,2.50125094236866,0.2
Nigeria,2018,6.84198487910615,0.2
Nigeria,2019,6.515410562552409,0.25
Norway,1999,5.459453142347258,0
Norway,2000,11.290420221892644,0
Norway,2001,3.5087104909774065,0
Norway,2002,6.689491700112037,0.07500000000000001
Norway,2003,3.542821906216536,0.05
Norway,2004,2.971330872185032,0.05
Norway,2005,9.125914050301986,0.07500000000000001
Norway,2006,7.8729404180371905,0.07500000000000001
Norway,2007,10.086874955789948,0.07500000000000001
Norway,2008,7.871336960432232,0.07500000000000001
Norway,2009,6.978390920479699,0.07500000000000001
Norway,2010,8.75367418273048,0.07500000000000001
Norway,2011,7.231990030666864,0.07500000000000001
Norway,2012,6.678473582235084,0.07500000000000001
Norway,2013,4.4336583938377085,0.07500000000000001
Norway,2014,9.141469611271088,0.07500000000000001
Norway,2015,5.957271304435963,0.07500000000000001
Norway,2016,14.102330858027292,0.07500000000000001
Norway,2017,4.041265657370467,0.07500000000000001
Norway,2018,7.485739280174099,0.07500000000000001
Norway,2019,10.026652665786262,0.07500000000000001
Pakistan,1999,1.90075018016257,0.825
Pakistan,2000,0.6032125352150551,0.825
Pakistan,2001,0.9809412638512329,0.85
Pakistan,2002,2.158257893752315,0.85
Pakistan,2003,1.9008341577224528,0.875
Pakistan,2004,1.119470024826091,0.65
Pakistan,2005,0.9690768421211782,0.625
Pakistan,2006,1.1184976388179517,0.65
Pakistan,2007,1.3197900561279858,0.65
Pakistan,2008,3.400347776882969,0.675
Pakistan,2009,1.506426210409538,0.675
Pakistan,2010,3.3527932420969035,0.7
Pakistan,2011,0.8407711706882472,0.7
Pakistan,2012,0.8796353170723376,0.7
Pakistan,2013,0.732845339230896,0.7
Pakistan,2014,1.7157329836356905,0.7
Pakistan,2015,1.4866700148998466,0.7
Pakistan,2016,1.3768099736141857,0.7
Pakistan,2017,1.7457560445455302,0.7
Pakistan,2018,1.347574427368672,0.7
Pakistan,2019,2.877507913860217,0.825
Panama,1999,11.69547458094533,0
Panama,2000,14.236543052105466,0
Panama,2001,13.7567215851492,0
Panama,2002,6.066852920285638,0
Panama,2003,2.290491043047042,0
Panama,2004,6.4924015409419615,0
Panama,2005,10.81727512918682,0
Panama,2006,6.296968888577077,0
Panama,2007,7.4096192229091695,0
Panama,2008,2.835753315572707,0
Panama,2009,8.685199982994698,0
Panama,2010,2.6671065756104797,0
Panama,2011,9.699865588442895,0
Panama,2012,5.8452035742537545,0
Panama,2013,2.886676564930443,0
Panama,2014,7.616573172997784,0
Panama,2015,3.878074915997675,0
Panama,2016,2.2886531278811066,0
Panama,2017,3.946276598120275,0
Panama,2018,8.765341560893763,0
Panama,2019,8.811508857218884,0
